wave;value;Klassifikation
180.0;230.18;Unbekannt
180.258;197.64;Unbekannt
180.517;213.21;Unbekannt
180.775;237.34;Unbekannt
181.034;216.98;Unbekannt
181.292;168.89;Unbekannt
181.55;161.98;Unbekannt
181.809;151.34;Unbekannt
182.067;150.66;Unbekannt
182.326;196.58;Unbekannt
182.584;239.61;Unbekannt
182.842;225.91;Unbekannt
183.101;200.69;Unbekannt
183.359;212.81;Unbekannt
183.618;249.08;Unbekannt
183.876;250.54;Unbekannt
184.134;219.7;Unbekannt
184.393;251.95;Unbekannt
184.651;288.76;Unbekannt
184.91;265.79;Unbekannt
185.168;199.3;Unbekannt
185.426;194.84;Unbekannt
185.685;205.47;Unbekannt
185.943;151.42;Unbekannt
186.202;89.38;Unbekannt
186.46;101.56;Unbekannt
186.718;133.17;Unbekannt
186.977;109.0;Unbekannt
187.235;84.91;Unbekannt
187.494;124.68;Unbekannt
187.752;133.86;Unbekannt
188.01;125.07;Unbekannt
188.269;156.49;Unbekannt
188.527;200.33;Unbekannt
188.786;194.41;Unbekannt
189.044;162.53;Unbekannt
189.302;176.48;Unbekannt
189.561;195.9;Unbekannt
189.819;173.29;Unbekannt
190.078;139.77;Unbekannt
190.336;180.1;Unbekannt
190.594;233.99;Unbekannt
190.853;221.51;Unbekannt
191.111;199.17;Unbekannt
191.37;233.34;Unbekannt
191.628;256.72;Unbekannt
191.886;202.86;Unbekannt
192.145;150.89;Unbekannt
192.403;154.68;Unbekannt
192.662;164.4;Unbekannt
192.92;154.72;Unbekannt
193.178;193.91;Unbekannt
193.437;238.98;Unbekannt
193.695;224.27;Unbekannt
193.953;186.39;Unbekannt
194.212;209.65;Unbekannt
194.47;253.77;Unbekannt
194.729;244.17;Unbekannt
194.987;208.95;Unbekannt
195.245;212.74;Unbekannt
195.504;207.19;Unbekannt
195.762;159.39;Unbekannt
196.021;105.71;Unbekannt
196.279;129.38;Unbekannt
196.537;183.75;Unbekannt
196.796;177.6;Unbekannt
197.054;133.95;Unbekannt
197.313;135.01;Unbekannt
197.571;157.25;Unbekannt
197.829;144.1;Unbekannt
198.088;125.89;Unbekannt
198.346;171.02;Unbekannt
198.605;193.45;Unbekannt
198.863;188.99;Unbekannt
199.121;208.76;Unbekannt
199.38;216.99;Unbekannt
199.638;168.16;Unbekannt
199.897;117.52;Unbekannt
200.155;125.98;Unbekannt
200.413;159.75;Unbekannt
200.672;142.8;Unbekannt
200.93;129.1;Unbekannt
201.189;161.8;Unbekannt
201.447;175.34;Unbekannt
201.705;162.4;Unbekannt
201.964;149.63;Unbekannt
202.222;206.77;Unbekannt
202.481;258.45;Unbekannt
202.739;248.25;Unbekannt
202.997;221.78;Unbekannt
203.256;250.38;Unbekannt
203.514;274.87;Unbekannt
203.773;219.65;Unbekannt
204.031;206.82;Unbekannt
204.289;194.57;Unbekannt
204.548;133.51;Unbekannt
204.806;73.07;Unbekannt
205.065;85.76;Unbekannt
205.323;129.38;Unbekannt
205.581;121.06;Unbekannt
205.84;77.32;Unbekannt
206.098;89.16;Unbekannt
206.357;110.46;Unbekannt
206.615;92.7;Unbekannt
206.873;66.91;Unbekannt
207.132;121.39;Unbekannt
207.39;190.34;Unbekannt
207.649;177.95;Unbekannt
207.907;135.14;Unbekannt
208.165;169.78;Unbekannt
208.424;214.91;Unbekannt
208.682;179.69;Unbekannt
208.941;205.64;Unbekannt
209.199;249.56;Unbekannt
209.457;236.79;Unbekannt
209.716;203.08;Unbekannt
209.974;213.5;Unbekannt
210.233;219.99;Unbekannt
210.491;198.5;Unbekannt
210.749;185.25;Unbekannt
211.008;194.41;Unbekannt
211.266;225.18;Unbekannt
211.525;196.16;Unbekannt
211.783;137.58;Unbekannt
212.041;132.72;Unbekannt
212.3;170.74;Unbekannt
212.558;155.61;Unbekannt
212.817;124.42;Unbekannt
213.075;132.45;Unbekannt
213.333;159.27;Unbekannt
213.592;141.31;Unbekannt
213.85;160.37;Unbekannt
214.109;192.53;Unbekannt
214.367;161.18;Unbekannt
214.625;117.47;Unbekannt
214.884;121.06;Unbekannt
215.142;124.8;Unbekannt
215.401;116.45;Unbekannt
215.659;102.13;Unbekannt
215.917;139.23;Unbekannt
216.176;197.75;Unbekannt
216.434;219.54;Unbekannt
216.693;224.97;Unbekannt
216.951;235.99;Unbekannt
217.209;251.55;Unbekannt
217.468;246.81;Unbekannt
217.726;212.91;Unbekannt
217.984;210.9;Unbekannt
218.243;167.19;Unbekannt
218.501;122.95;Unbekannt
218.76;117.97;Unbekannt
219.018;142.97;Unbekannt
219.276;131.88;Unbekannt
219.535;106.56;Unbekannt
219.793;113.66;Unbekannt
220.052;124.19;Unbekannt
220.31;107.37;Unbekannt
220.568;81.71;Unbekannt
220.827;123.01;Unbekannt
221.085;165.03;Unbekannt
221.344;159.09;Unbekannt
221.602;158.16;Unbekannt
221.86;193.44;Unbekannt
222.119;232.47;Unbekannt
222.377;227.94;Unbekannt
222.636;280.42;Unbekannt
222.894;306.83;Unbekannt
223.152;254.37;Unbekannt
223.411;200.04;Unbekannt
223.669;183.58;Unbekannt
223.928;193.42;Unbekannt
224.186;165.58;Unbekannt
224.444;138.38;Unbekannt
224.703;176.31;Unbekannt
224.961;220.28;Unbekannt
225.22;187.19;Unbekannt
225.478;162.68;Unbekannt
225.736;184.33;Unbekannt
225.995;222.32;Unbekannt
226.253;201.31;Unbekannt
226.512;145.93;Unbekannt
226.77;158.76;Unbekannt
227.028;154.21;Unbekannt
227.287;137.96;Unbekannt
227.545;158.35;Unbekannt
227.804;196.01;Unbekannt
228.062;186.43;Unbekannt
228.32;148.92;Unbekannt
228.579;166.48;Unbekannt
228.837;207.92;Unbekannt
229.096;206.22;Unbekannt
229.354;193.75;Unbekannt
229.612;211.45;Unbekannt
229.871;253.63;Unbekannt
